code,year,F050101B,F050102B,F050103B,F050104C,F050201B,F050202B,F050203B,F050204C,F050301B,F050302B,F050303B,F050304C,F050401B,F050402B,F050403B,F050404C,F050501B,F050502B,F050503B,F050504C,F050601B,F050601C,F050701B,F050801B,F050801C,F050901B,F051001B,F051101B,F051201B,F053201B,F053301B,F053301C,F051301B,F051301C,F051401B,F051401C,F051501B,F051501C,F051601B,F051601C,F051701B,F051701C,F051801B,F051801C,F051901B,F051901C,F053401B,F052001B,F052001C,F052101B,F052101C,F052201B,F052201C,F052301B,F052301C,F052401B,F052401C,F052901B,F052901C,F053001B,F053002B,F053003B,F053004C,F053101B,F053102B,F053103B,F053104C,F053202B,F100901A
1,2025,0,0,0,0,0,0,0,0,,,,,4,4,4,4,0,0,0,0,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,6,6,0,0,0,0,,,,,0,1
2,2025,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,0,0,0,-66343420590,-66343420590,-82395579081,-58034250746,-58034250746,,,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,0,1
4,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,26119749,26119749,14434685,38752342,38752342,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4
6,2025,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,151924942,151924942,-490327293,205451922,205451922,-3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,1
7,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4468768,4468768,964277,9574072,9574072,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,124,124,0,0,0,0,0,0,0,0,0,11
8,2025,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0,-697939327,-697939327,-699057776,-604306566,-604306566,,,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2
9,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362487256,2362487256,1884986028,3889551718,3889551718,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
10,2025,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-4,-4,0,0,0,0,60129280,60129280,78008211,63741422,63741422,,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2
11,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235444678,235444678,9078991,286779026,286779026,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-17,0,0,0,0,0,0,0,0,0,1
12,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316284943,316284943,336266259,1689755937,1689755937,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,1
14,2025,0,0,0,0,0,0,0,0,0,0,0,0,-9,-8,-8,-8,0,0,0,0,-142599272,-142599272,-148172223,-139465748,-139465748,,,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2
16,2025,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-3,-3,-3,-3,,,,,-10140156630,-10140156630,-11338366435,-9468031414,-9468031414,,,0,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,0,2
17,2025,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,14,0,0,0,0,56888283,56888283,41939955,57203922,57203922,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-771,8
19,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498250556,498250556,260201656,646733901,646733901,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
20,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43951128,43951128,34854898,53828504,53828504,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
21,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299192653,1299192653,1095739034,2163307646,2163307646,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
25,2025,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,179545575,179545575,145123281,251425690,251425690,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3
26,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131499723,131499723,95602860,246433476,246433476,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2
27,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6556622644,6556622644,4810862090,12006247232,12006247232,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
